事件,事件A,事件B,关系,年份,实体
普京：用强权与俄对话行不通,普京表示用强权与俄对话行不通。,普京呼吁通过对话解决与俄的关系。,因果,2014,俄
李克强：望日本妥善处理影响两国关系问题,李克强希望日本妥善处理影响两国关系的问题。,日本在两国关系中面临影响问题。,因果,2014,望日本
美辩称重返亚洲不为遏制中国：没有美国更不稳定,美国辩称重返亚洲不为遏制中国。,美国表示没有美国更不稳定。,因果,2014,亚洲中国美国
距离“南海行为准则”有多远?,中国与东盟国家正在进行南海行为准则的协商。,南海行为准则的最终达成。,顺承,2014,南海
俄北极战略司令部正式“开战”,俄北极战略司令部正式“开战”。,俄方加强了对北极地区的军事部署。,顺承,2014,
日媒关注中越船只西沙碰撞,中越船只在西沙发生碰撞。,日本媒体对此事件进行了关注。,因果,2014,中西沙
印尼签筹建亚投行备忘录意向创始成员增至22个,印尼签署筹建亚投行备忘录。,亚投行的意向创始成员增至22个。,因果,2014,
日媒：延期3年新日中友好21世纪委员会将正式开会,新日中友好21世纪委员会将正式开会。,该会议延期3年。,顺承,2014,日中
美日拟构建新型战略关系将发布“战后百年计划”,美日拟构建新型战略关系。,将发布“战后百年计划”。,顺承,2014,日拟构建
外媒：中国海警船在西沙海域冲撞驱赶越南渔船,中国海警船在西沙海域冲撞越南渔船。,越南渔船被驱赶。,因果,2014,中国西沙越南
日报：中日时隔3年重启湄公河政策对话,中日时隔3年重启湄公河政策对话。,中日双方在湄公河问题上展开合作讨论。,顺承,2014,中日湄公河
日澳打造新航母美媒：有助遏制中国“野心”,日澳打造新航母。,有助于遏制中国“野心”。,因果,2014,澳打造中国
在世界大棋局中构建中国特色大国外交,构建中国特色大国外交。,在世界大棋局中进行外交活动。,因果,2014,中国
亚洲正在形成的“中国秩序”,亚洲正在形成的“中国秩序”。,中国在亚洲的影响力日益增强。,因果,2014,中国
外媒：中国针对亚太策动“魅力攻势”,中国针对亚太策动“魅力攻势”。,中国在亚太地区吸引外资和合作。,因果,2014,
国台办：不论选举结果如何大陆对两岸关系前景乐观,国台办表示大陆对两岸关系前景乐观。,选举结果可能会影响两岸关系。,条件,2014,
日本前防卫大学校长：中国海军50年后仍落后美国,日本前防卫大学校长发表观点。,中国海军在50年后仍落后于美国。,因果,2014,日本防卫大学中国美国
“一路一带”惠及南盟中方愿提升与南盟关系,中方愿提升与南盟的关系。,“一带一路”惠及南盟。,因果,2014,
印度与巴基斯坦纷争拖累南亚整合进程,印度与巴基斯坦之间的纷争。,南亚整合进程受到拖累。,因果,2014,与巴基斯坦南亚
中国驻韩大使：中方反对美国在韩部署“萨德系统”,中国驻韩大使发表声明，反对美国在韩国部署“萨德系统”。,美国在韩国部署“萨德系统”。,因果,2014,韩美国
经济日报：中韩FTA如照妖镜照出台湾三个怪现象,中韩FTA的实施。,台湾出现三个怪现象。,因果,2014,中韩台湾
越战舰首度赴菲停靠友好访问两国皆否认意在挑衅中国,越战舰首度赴菲律宾停靠进行友好访问。,两国皆否认此举意在挑衅中国。,并发,2014,中国
中俄地中海军演的深层含义,中俄在地中海进行联合军事演习。,强化中俄两国军事合作与战略互信。,因果,2014,俄地中海
外媒：中俄地中海军演彰显中国海洋雄心,中国和俄罗斯在地中海进行联合军演。,外媒报道了这次军演，称其彰显了中国的海洋雄心。,因果,2014,俄地中海中国
外交部要求菲立即释放中国渔民,外交部要求菲律宾立即释放中国渔民。,菲律宾可能会考虑外交部的要求。,条件,2014,中国
专家:中国强国梦令日本害怕日本很多人热爱和平,中国强国梦令日本害怕。,日本很多人热爱和平。,并发,2014,中国日本
日自民党竞选承诺“牵制中国”强化钓鱼岛应对措施,日自民党竞选承诺“牵制中国”。,强化钓鱼岛应对措施。,因果,2014,中国钓鱼岛
"外媒：菲对中国渔民""只罚款不监禁""意在缓和关系","菲律宾对中国渔民采取""只罚款不监禁""的政策。",菲律宾意在缓和与中国的关系。,因果,2014,中国
菲判处9名中国渔民巨额罚金称其采集濒危物种,菲判处9名中国渔民巨额罚金。,称其采集濒危物种。,因果,2014,中国
美防长哈格尔突辞职,美防长哈格尔辞职。,美国政府开始寻找新的国防部长。,顺承,2014,突
外媒：中国以惊人速度削弱美国菲越对华软化,中国以惊人速度削弱美国对华软化。,中国以惊人速度削弱菲律宾和越南对华软化。,并发,2014,中国美国
国民党建党120周年马英九率连胜文向孙中山献花致敬,马英九率连胜文向孙中山献花。,国民党建党120周年。,顺承,2014,马英九连胜文孙中山
外媒：阻止他国参与美极力搅局中国亚投行计划,美国极力阻止他国参与中国的亚投行计划。,外媒报道了这一消息。,顺承,2014,
美报告称中国军力改变亚太平衡或加剧地区冲突,中国军力改变亚太平衡。,地区冲突可能加剧。,因果,2014,中国
直击韩海警抓扣中国渔船:取回要交2亿韩元保证金,韩海警抓扣中国渔船。,中国渔船要交2亿韩元保证金才能取回。,因果,2014,中国
安倍抛出钓岛解决方案对华示好险恶用心曝光,安倍抛出钓岛解决方案。,对华示好的险恶用心曝光。,因果,2014,抛
简氏:中国军工进军俄罗斯中俄合研军民两用技术,中国军工进军俄罗斯。,中国与俄罗斯共同研发军民两用技术。,因果,2014,中国俄罗斯中俄
西媒：中俄关系日渐紧密印度面临更大压力,中俄关系日渐紧密。,印度面临更大压力。,因果,2014,中俄印度
港媒：日政客再集体拜鬼安倍无诚意举行首脑会晤,日本政客集体拜鬼。,安倍无诚意举行首脑会晤。,因果,2014,日安倍
日本将研顶级侦察卫星监视中国性能直逼美国,日本将研发顶级侦察卫星。,该卫星性能直逼美国。,因果,2014,日本研中国美国
俄媒称中国或在南海永兴岛部署军机提高防御能力,中国在南海永兴岛部署军机。,中国提高防御能力。,因果,2014,中国南海永兴岛
朴槿惠改演讲稿不想被中国当成“看美国眼色”总统,朴槿惠改演讲稿。,朴槿惠不想被中国当成“看美国眼色”的总统。,因果,2014,改美国
安倍在联合国总部演讲宣扬“和平”称想“入常”,安倍在联合国总部演讲宣扬“和平”。,安倍称想“入常”。,顺承,2014,联合国
美国国务卿克里开始为期两天的中国之行，此次访问南海问题是主要关切的重点。16日，国家主席习近平、国务院总理李克强、中央军委副主席范长龙和中国外交部长王毅分别与克里举行了会面。克里重申了美国政府在南海问题上不选边站队的立场，表示对其他当事国将一视同仁。,美国国务卿克里开始为期两天的中国之行。,克里重申了美国政府在南海问题上不选边站队的立场。,顺承,2015,克里中国南海习近平国务院李克强中央军委范长龙王毅美国政府
针对美军P-8A反潜侦察机20日抵近南沙岛礁进行侦查活动，外交部部发言人洪磊表示，美军机抵近侦察的举动，对中方岛礁的安全构成潜在威胁，极易引发误判，进而导致海空意外事件，是十分不负责任，也是十分危险的，有损地区和平稳定。中方对此表示强烈不满，要求美方严格遵守国际法和相关国际规则，不要采取任何冒险和挑衅行动。洪磊还表示，中方将继续严密监视有关海空情况，并视情采取适当和必要措施，防止发生危害中国岛礁安全的情况和海空意外事件,美军P-8A反潜侦察机抵近南沙岛礁进行侦查活动。,中方对美军机侦查活动表示强烈不满，并要求美方遵守国际法。,因果,2015,南沙中国
针对美国国防部长卡特对中国在南海的岛礁建设的言论，中国外交部发言人表示，反对美国对中国在南海已形成的主权和权益说三道四，中国在南海的主权有历史法理依据，无需通过岛礁建设来强化。,美国国防部长卡特对中国在南海的岛礁建设发表了言论。,中国外交部发言人表示反对美国的言论，并强调中国在南海的主权有历史法理依据。,因果,2015,美国中国南海中国外交部
第21次中国-东盟高管磋商会议在北京举行。中国一东盟高官磋商认为中国与东盟国家在南海问题上加强对话与合作对增进政治互信具有重要意义，双方同意将继续共同努力，将南海打造为和平之海、友谊之海、合作之海。,第21次中国-东盟高管磋商会议在北京举行。,中国与东盟国家在南海问题上加强对话与合作。,顺承,2015,中国东盟北京南海
中国外交部宣布，中国在南沙岛礁部分驻守岛礁上的建设将于近期完成陆域吹填工程，并表示陆域吹填完成后，中国下阶段将开展用于必要的军事防卫及各类民事需求服务的功能设施建设,中国在南沙岛礁部分驻守岛礁上的建设将于近期完成陆域吹填工程。,中国下阶段将开展用于必要的军事防卫及各类民事需求服务的功能设施建设。,顺承,2015,外交部中国南沙
中国海事局宣布，中海油“海洋石油981”钻井平台将在6月25日-8月20日期间，在海南三亚东南方向约139公里处进行钻探作业。中国海事局要求船只禁止驶入其2000米范围内。,中国海事局宣布中海油“海洋石油981”钻井平台将在6月25日-8月20日期间，在海南三亚东南方向约139公里处进行钻探作业。,中国海事局要求船只禁止驶入其2000米范围内。,顺承,2015,中国海南三亚中国海事局
落实《南海各方行为宣言》第14次联合工作组会议在马来西亚吉隆坡举行。会议制定了“准则”磋商第二份共识文件、名人专家小组《职责范围》以及“中国和东盟国家应对海上紧急事态外交高官热线”概念文件。,落实《南海各方行为宣言》第14次联合工作组会议在马来西亚吉隆坡举行。,会议制定了“准则”磋商第二份共识文件、名人专家小组《职责范围》以及“中国和东盟国家应对海上紧急事态外交高官热线”概念文件。,顺承,2015,南海马来西亚吉隆坡中国东盟
海牙仲裁法庭举行南海仲裁案首场听证会，就仲裁庭对该案是否有司法管辖权问题进行听证。对此，中国外交部发言人华春莹7日重申了中国不接受、不参与的立场。,海牙仲裁法庭举行南海仲裁案首场听证会。,中国外交部发言人华春莹重申了中国不接受、不参与的立场。,并发,2015,海牙南海外交部华春莹中国
落实《南海各方行为宣言》第九次高管会在天津举行。会议批准了2015一2016年落实《宣言》工作计划，审议并通过了“南海行为准则”磋商第二份共识文件、名人专家小组《职责范围》等重要文件。在“南海行为准则磋商方面，各方决定启动新的阶段，讨论“重要和复杂问题”，包括为准备“准则”框架草案梳理共同要素等。同时，会议正式授权联合工作组会讨论制定“准则”磋商的“工作方法”。,落实《南海各方行为宣言》第九次高管会在天津举行。,会议批准了2015一2016年落实《宣言》工作计划，并审议通过了“南海行为准则”磋商第二份共识文件等重要文件。,顺承,2015,南海
在新加坡进行访问的中国外交部长王毅举行记者会表示，南海问题不是中国一东盟之间的问题，不应影响中国一东盟合作的大局，南海问题应放在中国一东盟关系的适当位置上。中方在南海问题上将奉行“五个坚持”,王毅举行记者会强调南海问题不应影响中国与东盟的合作。,中方在南海问题上将奉行“五个坚持”。,顺承,2015,新加坡中国南海东盟
第48届东盟外长会议、第16届东盟与中日(10+3)外长会、第5届东亚峰会(EAS)外长会和第22届东盟地区论坛(ARF)外长会在马来西亚吉隆坡“太子世界贸易中心”举行。中国外交部部长王毅出席了上述一系列会议。,第48届东盟外长会议、第16届东盟与中日(10+3)外长会、第5届东亚峰会(EAS)外长会和第22届东盟地区论坛(ARF)外长会在马来西亚吉隆坡举行。,中国外交部部长王毅出席了上述一系列会议。,顺承,2015,东盟中日东亚马来西亚吉隆坡太子世界贸易中国外交部
由“海洋石油981”承钻的我国首口深水高温高压探井一一陵水25-1S-1井顺利完钻。这口井是中国海油南海西部石油管理局继去年在南海发现我国首个储量超千亿方自营深水大气田陵水17-2后，在南海的又一口重要探井以进一步探明南海天然气储量。,我国首口深水高温高压探井陵水25-1S-1井顺利完钻。,在南海发现我国首个储量超千亿方自营深水大气田陵水17-2。,顺承,2015,海洋石油981陵水25-1S-1中国南海
"中国交通部在南海华阳礁举行华阳灯塔和赤瓜灯塔竣工发光仪式，宣布两座大型多功能灯塔正式发光并投入使用。着两座灯塔的建成，填补了南沙水域民用导助航设施的空白，将大大改善南海水域通航环境，为经过该水域的各国传播提供航路指引、安全信息、应急救助等公益服务,降低传播航行风险,减少海损事故发生。",中国交通部在南海华阳礁举行华阳灯塔和赤瓜灯塔竣工发光仪式。,两座大型多功能灯塔正式发光并投入使用。,顺承,2015,南海华阳礁
中国-东盟国防部长非正式会晤在北京举行。国务委员兼国防部长常万全上将表示，中国愿与东盟国家于2006年在南海海域举行“《海上意外相遇规则》联合训练”和“海上搜救、救灾联合演练”,中国-东盟国防部长非正式会晤在北京举行。,常万全上将表示，中国愿与东盟国家于2006年在南海海域举行“《海上意外相遇规则》联合训练”和“海上搜救、救灾联合演练”。,因果,2015,东盟北京常万全中国南海
中国与东盟国家20日在成都举行了落实《南海各方行为宣言》第十次高官会，同时举行了第十五次联合工作组会。会议初步讨论并形成了“重要和复杂问题清单”和““准则’框架草案要素清单”两份开放性文件，并授权联合工作组继续就此进行梳理研究。会议确认将“准则”磋商第二份共识文件名人专家小组《职责范围》，以及上述两份清单作为今年“准则”磋商的主要成果。,中国与东盟国家在成都举行了落实《南海各方行为宣言》第十次高官会。,会议讨论并形成了“重要和复杂问题清单”和“准则框架草案要素清单”两份开放性文件。,顺承,2015,东盟成都
中国外交部就南海仲裁案发表声明5点声明，声明“应菲律宾共和国单方面请求建立的南海仲裁案仲裁庭于2015年10月29日就管辖和可受理性问题作出的裁决是无效的，对中方没有拘束力。”,中国外交部就南海仲裁案发表声明，称仲裁庭的裁决是无效的。,仲裁庭于2015年10月29日就管辖和可受理性问题作出的裁决。,因果,2015,外交部南海菲律宾共和国仲裁庭
中国海军南海舰队某驱逐舰支队导弹护卫舰运城舰与法国海军“葡月”号导弹护卫舰，在南海某海域围绕《海上意外相遇规则》，进行了一场以占领补给阵位、编队运动等为内容的海上联合演练，加深了双方交流互信，增进了彼此友谊。,中国海军南海舰队某驱逐舰支队导弹护卫舰运城舰与法国海军“葡月”号导弹护卫舰在南海某海域进行海上联合演练。,海上联合演练加深了双方交流互信，增进了彼此友谊。,因果,2015,法国南海
中国国务院总理李克强在东亚峰会上就各国共同维护南海和平稳定提出五点倡议，提出了五点倡议:一是各国承诺遵守《联合国宪章》的宗旨和原则，捍卫二战成果和战后秩序，珍惜来之不易的和平，共同维护国际和地区包括南海地区的和平与稳定。二是直接有关的主权国家承诺根据公认的国际法原则，包括1982年《联合国海洋法公约》，通过友好磋商和谈判，以和平方式解决领土和管辖权争议。三是中国和东盟国家承诺全面有效完整落实《南海各方行为宣言》，加快“南海行为准则”磋商，在协商一致的基础上尽早达成“准则”并采取措施不断完善地区互信合作机制建设。四是域外国家承诺尊重和支持地区国家维护南海和平稳定的努力，发挥积极和建设性的作用，不采取导致地区局势紧张的行动。五是各国承诺依据国际法行使和维护在南海享有的航行和飞越自由,李克强在东亚峰会上提出五点倡议。,各国承诺根据倡议维护南海和平稳定。,因果,2015,东亚南海联合国中国东盟
中越北部湾湾口外海域共同考察启航仪式在广州举行。双方外交、国土、测绘等部门及越驻华使领馆代表出席。中国外交部边界与海洋事务司副司长周安伟、国土资源部中国地质调查局副局长王学龙及越南驻广州总领事馆代表分别致辞。中方“奋斗五号”考察船承担本次考察任务。中越两国专家将共司在北部湾湾口外海域进行地形地貌、地质及地球物理综合考察。,中越北部湾湾口外海域共同考察启航仪式在广州举行。,中越两国专家将在北部湾湾口外海域进行地形地貌、地质及地球物理综合考察。,顺承,2015,广州使领馆中国与海洋事务司资源部中国地质调查局驻总领事馆北部湾物理
"针对47名菲律宾青年上周末登上中业岛，中国外交部发言人陆慷28日表示，中国对包括中业岛在内的南沙群岛拥有无可争辩的主权，“我们再次敦促菲方从其非法侵占的中国岛礁上撤出一切人员和设施,不再做不利于本地区和平稳定、不利于中菲关系的事。”",菲律宾青年登上中业岛。,中国外交部发言人表示中国对南沙群岛拥有主权。,因果,2015,菲律宾中业岛中国陆慷
台湾领导人马英九在“2015年世界国际法学会与美国国际法学会亚太研究论坛”开幕式提出“南海和平倡议”，希望相关各国能共同维护南海地区海、空域航行及飞越自由安全，建立海洋及资源合作机制或订定行为规范全面规划、分区开发南海资源,台湾领导人马英九在“2015年世界国际法学会与美国国际法学会亚太研究论坛”开幕式提出“南海和平倡议”。,希望相关各国能共同维护南海地区海、空域航行及飞越自由安全，建立海洋及资源合作机制或订定行为规范全面规划、分区开发南海资源。,因果,2015,台湾马英九世界国际法学会美国国际法学会研究论坛南海
马英九当局与菲律宾签署《台菲渔业事务执法合作协议》，达成“海上执法避免使用武力、提前相互通报和尽速释放被扣押人员与船只”的三项原则,马英九当局与菲律宾签署《台菲渔业事务执法合作协议》。,达成“海上执法避免使用武力、提前相互通报和尽速释放被扣押人员与船只”的三项原则。,因果,2015,菲律宾
台湾“外交部”发布了“中华民国对南海问题之立场声明”,台湾“外交部”发布了“中华民国对南海问题之立场声明”。,该声明可能影响台湾与其他国家在南海问题上的外交关系。,因果,2015,南海
针对海牙仲裁法庭10月29日发表的南海仲裁案有关管辖权的裁决声明，台湾发表7点声明，声称对判决“既不承认，也不接受”,海牙仲裁法庭在10月29日发表了南海仲裁案有关管辖权的裁决声明。,台湾对此判决发表7点声明，声称对判决“既不承认，也不接受”。,顺承,2015,南海台湾
马英九派遣“内政部长”陈威仁赴太平岛主持码头及灯塔启用典礼。,马英九派遣“内政部长”陈威仁赴太平岛。,陈威仁主持码头及灯塔启用典礼。,顺承,2015,派遣陈威仁太平岛
2015年7月1—3日，落实《南海各方行为宣言》第14次联合工作组会议在马来西亚吉隆坡举行。会议制定了“准则”磋商第二份共识文件、名人专家小组《职责范围》以及“中国和东盟国家应对海上紧急事态外交高官热线”概念文件。,2015年7月1—3日，南海各方行为宣言第14次联合工作组会议在马来西亚吉隆坡举行。,会议制定了“准则”磋商第二份共识文件、名人专家小组《职责范围》以及海上紧急事态外交高官热线概念文件。,顺承,2015,南海马来西亚吉隆坡中国东盟
2015年8月5日，中国－东盟（10+1）外长会在马来西亚吉隆坡举行，中国外交部部长王毅出席了本次会议。,中国－东盟（10+1）外长会在马来西亚吉隆坡举行。,中国外交部部长王毅出席了本次会议。,顺承,2015,中国东盟马来西亚吉隆坡外交部
"4月7-10日，越南共产党总书记阮富仲对我国进行正式访问。4月8日，中越双方签署《中越联合公报》,公报中提到，双方就海上问题坦诚交换意见，强调恪守两党两国领导人达成的重要共识，认真落实《关于指导解决中越海上问题基本原则协议》,用好中越政府边界谈判机制，坚持通过友好协商和谈判，寻求双方均能接受的基本和长久解决办法，积极探讨不影响各自立场主张的过渡性解决办法，包括积极研究和商谈共同开发问题。共同管控好海上分歧，全面有效落实《南海各方行为宣言》(DOC),并在协商一致的基础上早日达成“南海行为准则”(COC),不采取使争议复杂化、扩大化的行动，及时、妥善处理出现的问题，维护中越关系大局以及南海和平稳定。双方一致同意，推进海上共同开发磋商工作组工作，加强低敏感领域合作，稳步推进北部湾湾口外海域划界谈判，积极推进该海域共同开发，年内尽早启动北部湾湾口外海域共同考察。",越南共产党总书记阮富仲对我国进行正式访问。,中越双方签署《中越联合公报》，就海上问题进行坦诚交换意见。,顺承,2015,南海
6月30日，根据《越共电子报》报道，越南从俄罗斯引进的六艘基洛级舰艇中的第四艘“HQ-185岘港”号驶入越南金兰湾。该基洛级潜艇排水量为3100吨，最高时速为20海里，最大下潜深度达300米，可搭载52名船员，并装备多种现代化武器。,越南从俄罗斯引进的第四艘基洛级舰艇“HQ-185岘港”号驶入越南金兰湾。,该基洛级潜艇的排水量、最高时速、最大下潜深度和船员搭载能力等技术参数被报道。,并发,2015,越南金兰湾
8月1日，越南海军在金兰湾军港举行“海防”号和“庆和”号潜艇升旗仪式，标志着越南从俄罗斯购买的第二批基洛级潜艇正式开始服役。,越南海军在金兰湾军港举行“海防”号和“庆和”号潜艇升旗仪式。,越南从俄罗斯购买的第二批基洛级潜艇正式开始服役。,顺承,2015,越南金兰湾俄罗斯
9月10日，越南外交部发言人黎海平对中国在西沙群岛实施4G网络全覆盖表示抗议，称这是“非法行为”。,越南外交部发言人黎海平对中国在西沙群岛实施4G网络全覆盖表示抗议。,中国在西沙群岛实施4G网络全覆盖。,因果,2015,越南外交部中国西沙群岛
9月11日，据日本和越南媒体报道，俄罗斯能源巨头罗斯石油公司日前与日本一家公司签署协议，共同为越南的能源项目开发两口油井。报道称，这两个油井的位置位于越南与中国的南海争议区域。,俄罗斯能源巨头罗斯石油公司与日本一家公司签署协议，共同为越南的能源项目开发两口油井。,这两个油井的位置位于越南与中国的南海争议区域。,顺承,2015,日本越南俄罗斯罗斯石油公司中国南海
12月19日，中越北部湾湾口外海域共同考察启航仪式在广州举行。双方外交、国土、测绘等部门及越驻华使领馆代表出席。中国外交部边界与海洋事务司副司长周安伟、国土资源部中国地质调查局副局长王学龙及越南驻广州总领事馆代表分别致辞。中方“奋斗五号”考察船承担本次考察任务。中越两国专家将共同在北部湾湾口外海域进行地形地貌、地质及地球物理综合考察。,中越北部湾湾口外海域共同考察启航仪式在广州举行。,中越两国专家将共同在北部湾湾口外海域进行地形地貌、地质及地球物理综合考察。,顺承,2015,中北部湾广州越驻华中国外交部与海洋事务司周安伟国土资源部地质调查局驻广州总领事馆
5月23-25日，美国总统奥巴马对越南进行为期3天的访问。这是奥巴马任内首次访问越南，也是1995年两国关系正常化以来第三位访问越南的美国总统。奥巴马宣布将全面解除对越南武器禁运。,奥巴马对越南进行为期3天的访问。,奥巴马宣布将全面解除对越南武器禁运。,顺承,2015,美国越南奥巴马
2015年1月20—21日，美国国务院主管亚太事务的助理国务卿丹尼尔．拉塞尔率代表团出访菲律宾，同菲方进行双边会谈。拉塞尔在发布会上称，美国和菲律宾曾分别敦促中方“中止一切有可能引发更为紧张态势的举动”。拉塞尔以质疑中国南海断续线而出名。 ,2015年1月20—21日，美国国务院主管亚太事务的助理国务卿丹尼尔．拉塞尔率代表团出访菲律宾。,拉塞尔在发布会上称，美国和菲律宾曾分别敦促中方“中止一切有可能引发更为紧张态势的举动”。,顺承,2015,美国丹尼尔．拉塞尔菲律宾拉塞尔中国
"2015年1月29—31日，越南政府副总理兼外交部部长范平明访问菲律宾，在与菲律宾外交部长罗萨里奥共同主持越菲战略伙伴工作委员会第一次会议中，双方提到有关各方应恪守《南海各方行为宣言》(DOC)，早日制定《南海行为准则》(COD）,保持克制，不采取使南海紧张局势升级的行为。 ",越南政府副总理兼外交部部长范平明访问菲律宾。,双方提到有关各方应恪守《南海各方行为宣言》(DOC)，早日制定《南海行为准则》(COD)。,顺承,2015,越南政府范平明菲律宾伙伴南海
2015年3月3日，据日本共同社报道，英国英国福勒姆能源公司发表声明说，菲律宾己经无限期中止了在南中国海巴拉望岛附近礼乐滩海域的所有海上石油和天然气钻探活动。菲律宾能源部“己经以不可抗力为由下令中止72号服务合同，因为该合同区域位于领土争议区域”。 ,菲律宾无限期中止了在南中国海巴拉望岛附近礼乐滩海域的所有海上石油和天然气钻探活动。,菲律宾能源部下令中止72号服务合同，因为该合同区域位于领土争议区域。,因果,2015,日本共同社英国福勒姆能源公司菲律宾礼乐滩
2015年3月27日，菲律宾宣布，将恢复在南海主权争议海域的岛礁建设。2013年，菲律宾将南海争议单(0)方面提交国际仲裁庭0为了避免仲裁受影响，菲律宾于2014年10月宣布暂停在南海岛礁上的设施修复和重建工作。不过菲外长罗萨里奥昨天宣布：“我们现在的立场是我们将继续展开修复和维修。”维修工作包括修建一条飞机跑道，这并不会更改主权争议区的现状，因此不违反DOC。 ,菲律宾宣布，将恢复在南海主权争议海域的岛礁建设。,菲律宾于2014年10月宣布暂停在南海岛礁上的设施修复和重建工作。,顺承,2015,菲律宾南海
2015年4月20—30日，美国和菲律宾年度联合军演“肩并肩”正式登场。此次军演参加人数过万，比去年增加一倍。且其中一个军演场地三描礼士海军基地，距离黄岩岛只有220公里。“肩并肩”军演是美菲之间以1951年共同防御协议为基础进行的年度军演，其中1995年起一度中断，到1999年恢复，今年为第31次。澳大利亚也派遣61名官兵和1架战机参加演习。 ,美国和菲律宾年度联合军演“肩并肩”正式登场。,此次军演的参加人数过万，比去年增加一倍。,因果,2015,美国菲律宾三描礼士基地黄岩岛澳大利亚
2015年5月6日，菲律宾和日本两国海岸警卫队在马尼拉湾海域举行反海盗联合演习。这是两国在2012年签署战略伙伴关系协议之后，首次举行类似演习。受到亚洲海域紧张关系升级影响，菲日两国加强海事合作备受关注。 ,菲律宾和日本两国海岸警卫队在马尼拉湾海域举行反海盗联合演习。,这是两国在2012年签署战略伙伴关系协议之后，首次举行类似演习。,顺承,2015,菲律宾日本亚洲日
2015年5月10日，菲律宾海军司令米兰海军中将表示，菲海军一艘护卫舰即将与日本海军在南中国海举行演习，但他强调，这次演习与中国在有主权争议岛礁进行填海活动无关。据共同社报道，参与演习的日本护卫舰春雨号和天雾号，完成了在非洲东部索马里海域亚丁湾执行打击海盗任务，在返回日本途中，获得补给，本月9日停靠在马尼拉港。计划12日离港，并与菲海军进行联合训练。 ,菲律宾海军一艘护卫舰即将与日本海军在南中国海举行演习。,参与演习的日本护卫舰春雨号和天雾号完成了在非洲东部索马里海域的打击海盗任务。,顺承,2015,菲律宾米兰日本南中国海中国非洲索马里亚丁湾马尼拉港
2015年5月12日，菲律宾武装部队总参谋长卡塔庞11日率领大批记者登上菲律宾侵占的中国南沙群岛中业岛。据与卡塔庞同行登岛的记者描述，菲律宾在中业岛上修建了所谓“卡拉延镇镇政府”办公楼以及33栋房屋和一条1.3公里长的飞机跑道，岛上还部署了两台40毫米口径高射炮。卡塔庞表示，他这次登岛就是为了证明中业岛是菲律宾的“领土”。中业岛一直被外界视作菲律宾侵占南沙群岛的指挥中心。 ,菲律宾武装部队总参谋长卡塔庞率领大批记者登上中业岛。,菲律宾在中业岛上修建了“卡拉延镇镇政府”办公楼、房屋和飞机跑道，并部署了高射炮。,顺承,2015,菲律宾卡塔庞中国南沙中业岛卡拉延镇
2015年6月22—23日，菲律宾海军与日本海上自卫队举行联合军事演习。按照日菲的官方表态，这次海上联合演练是“灾时人道援助及搜救”。这是菲律宾与日本进行的第二次联合军演。5月12日，两国在马尼拉湾附近海域举行了首次海上联合军演。 ,菲律宾海军与日本海上自卫队举行联合军事演习。,两国在马尼拉湾附近海域举行了首次海上联合军演。,顺承,2015,菲律宾日本自卫队马尼拉湾
2015年7月20日，菲律宾总统阿基诺在给国会提交的2016年国家预算计划中强调要加强菲律宾海军的军事实力。菲律宾政府计划在2016年将军费增加到5·52亿美元。 ,菲律宾总统阿基诺在国会提交的2016年国家预算计划中强调要加强菲律宾海军的军事实力。,菲律宾政府计划在2016年将军费增加到5·52亿美元。,因果,2015,菲律宾阿基诺菲律宾政府
2015年8月26—27日，26日，路透社报道称，美国太平洋司令部司令哈里斯访问菲律宾，与菲律宾国防部长以及陆军司令等人会面。据菲律宾媒体称，哈里斯“现场考察了南海情况”。菲军方发言人帕迪拉27日表示，菲国防部己向美国提出“监控南海”以及“护航”的请求。 ,美国太平洋司令部司令哈里斯访问菲律宾，并与菲律宾国防部长及陆军司令会面。,菲律宾国防部向美国提出“监控南海”和“护航”的请求。,顺承,2015,美国太平洋司令部哈里斯菲律宾南海
2015年10月29日，应菲律宾单方面要求建立的南海仲裁案仲裁庭就管辖权和可受理性问题作出裁决，称其对菲律宾部分请求事项具有管辖权。对菲律宾提出的15项请求中的7项具有管辖权，7项管辖权在实体性问题审议中一并审议，另有1项需要菲律宾补充说明。仲裁庭预计在2016年作出关于实体性问题和剩余管辖权问题的裁决。 ,2015年10月29日，南海仲裁案仲裁庭就管辖权和可受理性问题作出裁决。,仲裁庭预计在2016年作出关于实体性问题和剩余管辖权问题的裁决。,顺承,2015,菲律宾南海
2015年11月4日，菲律宾政府4日重申，本月将在菲首都马尼拉举行的亚太经合组织（APED）领导人非正式会议讨论南海问题。 ,菲律宾政府重申将在马尼拉举行亚太经合组织（APED）领导人非正式会议讨论南海问题。,会议将在2015年11月举行。,顺承,2015,菲律宾政府马尼拉亚太经合组织南海
2015年11月24—26日，菲律宾单方面提起的南海仲裁案的仲裁庭对于该案的实体问题和剩余管辖权问题进行了口头听证会。 ,菲律宾单方面提起南海仲裁案的仲裁庭进行了口头听证会。,仲裁庭对该案的实体问题和剩余管辖权问题进行审理。,顺承,2015,菲律宾南海
